Latitude (decimal degrees):	45.184
Longitude (decimal degrees):	5.755
Elevation (m):	214
Radiation database:	PVGIS-SARAH3


Slope: 0 deg. 
Azimuth: 0 deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20230101:0010,0.0,0.0,0.0,0.0,5.96,1.59,0.0
20230101:0110,0.0,0.0,0.0,0.0,5.51,1.59,0.0
20230101:0210,0.0,0.0,0.0,0.0,5.04,1.66,0.0
20230101:0310,0.0,0.0,0.0,0.0,4.33,1.72,0.0
20230101:0410,0.0,0.0,0.0,0.0,3.76,1.66,0.0
20230101:0510,0.0,0.0,0.0,0.0,3.25,1.66,0.0
20230101:0610,0.0,0.0,0.0,0.0,2.67,1.72,0.0
20230101:0710,0.0,0.0,0.0,0.0,1.41,1.86,0.0
20230101:0810,0.0,43.0,0.0,6.78,1.42,1.86,0.0
20230101:0910,160.01,53.0,0.0,13.75,3.53,1.59,0.0
20230101:1010,281.01,43.0,0.0,18.8,7.21,1.45,0.0
20230101:1110,235.01,101.0,0.0,21.47,8.89,1.45,0.0
20230101:1210,235.01,101.0,0.0,21.46,10.03,1.59,0.0
20230101:1310,134.01,124.0,0.0,18.78,10.21,1.66,0.0
20230101:1410,15.0,102.0,0.0,13.71,10.78,1.45,0.0
20230101:1510,3.0,40.0,0.0,6.73,9.85,1.66,0.0
20230101:1610,0.0,0.0,0.0,0.0,8.84,1.66,0.0
20230101:1710,0.0,0.0,0.0,0.0,7.3,1.59,0.0
20230101:1810,0.0,0.0,0.0,0.0,6.49,1.59,0.0
20230101:1910,0.0,0.0,0.0,0.0,6.29,1.59,0.0
20230101:2010,0.0,0.0,0.0,0.0,5.34,1.66,0.0
20230101:2110,0.0,0.0,0.0,0.0,4.3,1.72,0.0
20230101:2210,0.0,0.0,0.0,0.0,3.81,1.79,0.0
20230101:2310,0.0,0.0,0.0,0.0,2.82,1.79,0.0
20230102:0010,0.0,0.0,0.0,0.0,1.3,1.86,0.0
20230102:0110,0.0,0.0,0.0,0.0,0.01,1.93,0.0
20230102:0210,0.0,0.0,0.0,0.0,-0.82,1.93,0.0
20230102:0310,0.0,0.0,0.0,0.0,-1.13,1.93,0.0
20230102:0410,0.0,0.0,0.0,0.0,-1.0,2.0,0.0
20230102:0510,0.0,0.0,0.0,0.0,-0.43,1.93,0.0
20230102:0610,0.0,0.0,0.0,0.0,-0.12,1.93,0.0
20230102:0710,0.0,0.0,0.0,0.0,1.25,1.86,0.0
20230102:0810,0.0,43.0,0.0,6.8,1.84,1.79,0.0
20230102:0910,5.0,93.0,0.0,13.79,3.93,1.59,0.0
20230102:1010,11.0,139.0,0.0,18.86,6.84,1.38,0.0
20230102:1110,1.0,125.0,0.0,21.54,9.86,1.1,0.0
20230102:1210,5.0,144.0,0.0,21.56,11.32,0.97,0.0
20230102:1310,18.0,145.0,0.0,18.89,11.31,0.76,0.0
20230102:1410,10.0,98.0,0.0,13.84,10.83,0.41,0.0
20230102:1510,0.0,22.0,0.0,6.86,9.95,0.28,0.0
20230102:1610,0.0,0.0,0.0,0.0,9.14,0.21,0.0
20230102:1710,0.0,0.0,0.0,0.0,8.33,0.34,0.0
20230102:1810,0.0,0.0,0.0,0.0,7.71,0.48,0.0
20230102:1910,0.0,0.0,0.0,0.0,7.53,0.62,0.0
20230102:2010,0.0,0.0,0.0,0.0,7.04,0.55,0.0
20230102:2110,0.0,0.0,0.0,0.0,6.72,0.62,0.0
20230102:2210,0.0,0.0,0.0,0.0,6.26,0.62,0.0
20230102:2310,0.0,0.0,0.0,0.0,6.03,0.62,0.0
20230103:0010,0.0,0.0,0.0,0.0,5.06,0.62,0.0
20230103:0110,0.0,0.0,0.0,0.0,4.56,0.62,0.0
20230103:0210,0.0,0.0,0.0,0.0,4.17,0.69,0.0
20230103:0310,0.0,0.0,0.0,0.0,3.89,0.69,0.0
20230103:0410,0.0,0.0,0.0,0.0,3.86,0.62,0.0
20230103:0510,0.0,0.0,0.0,0.0,3.86,0.62,0.0
20230103:0610,0.0,0.0,0.0,0.0,3.7,0.62,0.0
20230103:0710,0.0,0.0,0.0,0.0,3.52,0.69,0.0
20230103:0810,0.0,22.0,0.0,6.81,3.96,0.55,0.0
20230103:0910,56.0,104.0,0.0,13.82,5.22,0.28,0.0
20230103:1010,0.0,58.0,0.0,18.92,6.61,0.28,0.0
20230103:1110,14.0,160.0,0.0,21.63,6.87,0.34,0.0
20230103:1210,10.0,156.0,0.0,21.66,7.44,0.55,0.0
20230103:1310,3.0,120.0,0.0,19.01,7.62,0.69,0.0
20230103:1410,0.0,48.0,0.0,13.97,7.28,0.83,0.0
20230103:1510,8.0,46.0,0.0,7.0,6.7,0.76,0.0
20230103:1610,0.0,0.0,0.0,0.0,5.93,0.55,0.0
20230103:1710,0.0,0.0,0.0,0.0,5.2,0.48,0.0
20230103:1810,0.0,0.0,0.0,0.0,5.09,0.34,0.0
20230103:1910,0.0,0.0,0.0,0.0,4.86,0.48,0.0
20230103:2010,0.0,0.0,0.0,0.0,4.34,0.34,0.0
20230103:2110,0.0,0.0,0.0,0.0,3.94,0.41,0.0
20230103:2210,0.0,0.0,0.0,0.0,3.6,0.48,0.0
20230103:2310,0.0,0.0,0.0,0.0,3.26,0.55,0.0
20230104:0010,0.0,0.0,0.0,0.0,2.98,0.62,0.0
20230104:0110,0.0,0.0,0.0,0.0,2.17,0.55,0.0
20230104:0210,0.0,0.0,0.0,0.0,1.87,0.69,0.0
20230104:0310,0.0,0.0,0.0,0.0,1.91,0.83,0.0
20230104:0410,0.0,0.0,0.0,0.0,1.72,0.97,0.0
20230104:0510,0.0,0.0,0.0,0.0,1.43,0.9,0.0
20230104:0610,0.0,0.0,0.0,0.0,0.93,0.9,0.0
20230104:0710,0.0,0.0,0.0,0.0,0.25,1.17,0.0
20230104:0810,0.0,47.0,0.0,6.84,0.05,1.17,0.0
20230104:0910,35.0,109.0,0.0,13.87,1.02,1.03,0.0
20230104:1010,65.0,152.0,0.0,18.98,3.72,0.69,0.0
20230104:1110,237.01,104.0,0.0,21.72,6.2,0.41,0.0
20230104:1210,179.01,137.0,0.0,21.77,7.09,0.76,0.0
20230104:1310,78.0,150.0,0.0,19.13,6.45,1.03,0.0
20230104:1410,51.0,107.0,0.0,14.1,6.25,0.97,0.0
20230104:1510,11.0,48.0,0.0,7.14,6.11,0.76,0.0
20230104:1610,0.0,0.0,0.0,0.0,5.35,0.69,0.0
20230104:1710,0.0,0.0,0.0,0.0,4.81,0.69,0.0
20230104:1810,0.0,0.0,0.0,0.0,4.6,0.69,0.0
20230104:1910,0.0,0.0,0.0,0.0,5.13,0.83,0.0
20230104:2010,0.0,0.0,0.0,0.0,5.06,0.83,0.0
20230104:2110,0.0,0.0,0.0,0.0,5.23,0.76,0.0
20230104:2210,0.0,0.0,0.0,0.0,5.27,0.76,0.0
20230104:2310,0.0,0.0,0.0,0.0,5.17,0.76,0.0
20230105:0010,0.0,0.0,0.0,0.0,5.01,0.76,0.0
20230105:0110,0.0,0.0,0.0,0.0,4.23,0.76,0.0
20230105:0210,0.0,0.0,0.0,0.0,3.91,0.83,0.0
20230105:0310,0.0,0.0,0.0,0.0,3.76,0.83,0.0
20230105:0410,0.0,0.0,0.0,0.0,3.48,0.9,0.0
20230105:0510,0.0,0.0,0.0,0.0,3.2,0.9,0.0
20230105:0610,0.0,0.0,0.0,0.0,2.96,0.97,0.0
20230105:0710,0.0,0.0,0.0,0.0,3.73,0.97,0.0
20230105:0810,0.0,31.0,0.0,6.87,3.36,0.97,0.0
20230105:0910,179.01,44.0,0.0,13.92,3.75,0.83,0.0
20230105:1010,249.01,62.0,0.0,19.06,5.27,0.9,0.0
20230105:1110,133.01,157.0,0.0,21.82,6.63,1.31,0.0
20230105:1210,263.01,88.0,0.0,21.89,6.91,1.59,0.0
20230105:1310,94.0,145.0,0.0,19.26,7.1,1.86,0.0
20230105:1410,86.0,95.0,0.0,14.24,6.85,1.38,0.0
20230105:1510,41.0,42.0,0.0,7.28,6.34,1.1,0.0
20230105:1610,0.0,0.0,0.0,0.0,5.61,0.9,0.0
20230105:1710,0.0,0.0,0.0,0.0,4.56,0.69,0.0
20230105:1810,0.0,0.0,0.0,0.0,3.66,0.62,0.0
20230105:1910,0.0,0.0,0.0,0.0,4.04,0.69,0.0
20230105:2010,0.0,0.0,0.0,0.0,2.98,0.69,0.0
20230105:2110,0.0,0.0,0.0,0.0,2.34,0.69,0.0
20230105:2210,0.0,0.0,0.0,0.0,2.37,0.69,0.0
20230105:2310,0.0,0.0,0.0,0.0,2.2,0.69,0.0
20230106:0010,0.0,0.0,0.0,0.0,2.29,0.69,0.0
20230106:0110,0.0,0.0,0.0,0.0,2.26,0.76,0.0
20230106:0210,0.0,0.0,0.0,0.0,1.98,0.83,0.0
20230106:0310,0.0,0.0,0.0,0.0,1.75,0.83,0.0
20230106:0410,0.0,0.0,0.0,0.0,1.19,0.83,0.0
20230106:0510,0.0,0.0,0.0,0.0,1.1,0.83,0.0
20230106:0610,0.0,0.0,0.0,0.0,0.6,0.97,0.0
20230106:0710,0.0,0.0,0.0,0.0,0.92,1.03,0.0
20230106:0810,0.0,46.0,0.0,6.91,1.03,1.03,0.0
20230106:0910,12.0,103.0,0.0,13.98,2.95,0.83,0.0
20230106:1010,17.0,147.0,0.0,19.14,5.62,0.48,0.0
20230106:1110,21.0,171.0,0.0,21.92,7.41,0.07,0.0
20230106:1210,191.01,134.0,0.0,22.01,8.31,0.28,0.0
20230106:1310,230.01,80.0,0.0,19.4,8.35,0.34,0.0
20230106:1410,128.01,78.0,0.0,14.39,7.74,0.28,0.0
20230106:1510,69.01,30.0,0.0,7.43,7.33,0.21,0.0
20230106:1610,0.0,0.0,0.0,0.0,6.29,0.0,0.0
