pdl,nom,roof_m2,potential,Nom delta conso
19370477551163,ANTENNE HABITAT SUD (RENAUDIE)/AVENUE DU 8 MAI 1945 N°34 - BUREAU/SALLES DE REUNIONS,0,Pas de potentiel,
19369753962160,ANTENNE HABITAT SUD (RENAUDIE)/AVENUE DU 8 MAI 1945 N°38 - LOCAUX DE RANGEMENTS/VESTIAIRES En cours de vente - 2ème trimestre 2024,0,Pas de potentiel,
NA,APPARTEMENT AVENUE DU 8 MAI 1945 N°62 - LOGEMENT D'URGENCE,0,Pas de potentiel,
30001931475760,ATELIERS MUNICIPAUX/BATIMENT A,767,,
30001931475760,ATELIERS MUNICIPAUX/BATIMENT A (administratif),767,Potentiel élevé ,
30001931475760,ATELIERS MUNICIPAUX/BATIMENT A/CHAUFFERIE BATIMENT A-B,,Pas de potentiel,
30001931475760,ATELIERS MUNICIPAUX/BATIMENT A/LOCAL TECHNIQUE - TRANSFORMATEUR EDF,,Pas de potentiel,
30001931475760,ATELIERS MUNICIPAUX/BATIMENT B,260,Potentiel élevé,
30001931475760,ATELIERS MUNICIPAUX/BATIMENT C,300,Pas de potentiel ,
30001931475760,ATELIERS MUNICIPAUX/BATIMENT D,1258,Potentiel élevé,
30001931475760,ATELIERS MUNICIPAUX/BATIMENT E,1522,,
30001931475760,ATELIERS MUNICIPAUX/BATIMENT E (Menuiserie),1522,Potentiel élevé ,
30001931475760,ATELIERS MUNICIPAUX/BATIMENT E/CHAUFFERIE BATIMENT D-E-F,,Pas de potentiel ,
30001931475760,ATELIERS MUNICIPAUX/BATIMENT F,849,Potentiel moyen,
30001931475760,ATELIERS MUNICIPAUX/BATIMENT F (Propreté urbaine),,Potentiel moyen ,
30001931475760,ATELIERS MUNICIPAUX/BATIMENT F/BATIMENT F1 - LOCAUX ESPACES VERTS,,Pas de potentiel,
30001931475760,ATELIERS MUNICIPAUX/BATIMENT F/BATIMENT F2 - LOCAUX PROPRETE URBAINE,,Pas de potentiel,
30001931475760,ATELIERS MUNICIPAUX/BATIMENT F/CHAUFFERIE - SOUS STATION CHAUFFAGE BATIMENT F,,Pas de potentiel,
30001931475760,ATELIERS MUNICIPAUX/BATIMENT G,140,Potentiel moyen,
30001931475760,ATELIERS MUNICIPAUX/QUAI DE DECHETTERIE,0,Pas de potentiel,
19350651212688,BATIMENT B31 - AVENUE DU 8 MAI 1945 N°16,292,Potentiel élevé ,
19350651212688,BATIMENT B31 - AVENUE DU 8 MAI 1945 N°16/ RDC/LOCAUX DE STOCKAGE,,Pas de potentiel ,
19350651212688,BATIMENT B31 - AVENUE DU 8 MAI 1945 N°16/ RDC/OFFICE MUNICIPAL DU SPORT (OMS),,Pas de potentiel ,
19350651212688,BATIMENT B31 - AVENUE DU 8 MAI 1945 N°16/1ER ETAGE,,Pas de potentiel ,
19350651212688,BATIMENT B31 - AVENUE DU 8 MAI 1945 N°16/1ER ETAGE/GUSP (GESTION URBAINE ET SOCIALE DE PROXIMITE),,Pas de potentiel ,
19350651212688,BATIMENT B31 - AVENUE DU 8 MAI 1945 N°16/2EME ETAGE,,Pas de potentiel ,
19350651212688,BATIMENT B31 - AVENUE DU 8 MAI 1945 N°16/3EME ETAGE,,Pas de potentiel ,
19350651212688,BATIMENT B31 - AVENUE DU 8 MAI 1945 N°16/CHAUFFERIE TOITURE,,Pas de potentiel ,
30001930555529,BIBLIOTHEQUE ANDRE MALRAUX,438,Potentiel moyen,
19352532518009,BIBLIOTHEQUE PAUL LANGEVIN,525,Potentiel élevé,
19352532518009,BIBLIOTHEQUE PAUL LANGEVIN/CHAUFFERIE,,Pas de potentiel,
NA,BLOCS TECHNIQUES ELECTRIQUES/ANTENNE RELAI RADIO - ROUTE DES MAQUIS (PARKING CENTRE AERE DU MURIER),0,,
NA,BLOCS TECHNIQUES ELECTRIQUES/CENTRE AERE DU MURIER - ROUTE DES MAQUIS (PARKING CENTRE AERE DU MURIER),0,,
NA,BLOCS TECHNIQUES ELECTRIQUES/ECLAIRAGE LABOURBE,0,,
NA,BLOCS TECHNIQUES ELECTRIQUES/ECLAIRAGE PABLO PICASSO,0,,
19311577382149,BOULISTES - BIDAL PERI/LOCAUX,0,Neutre,
19311577382149,BOULISTES - BIDAL PERI/SANITAIRES BOULISTES PERI,0,Neutre,
19370911719592,BOULISTES - ESPACE CASANOVA/BOULODROME STEPHANE VIGHETTI,834,Potentiel élevé,
19370911719592,BOULISTES - ESPACE CASANOVA/LOCAUX,0,Pas de potentiel ,
19370911719592,BOULISTES - ESPACE CASANOVA/LOCAUX/CHAUFFERIE,,Pas de potentiel,
19370911719592,BOULISTES - ESPACE CANASOVA/LOCAUX/SANITAIRES PUBLICS,,Pas de potentiel,
19372648318196,BOULISTES - PAUL ELUARD/CONTENEUR DE STOCKAGE,0,Pas de potentiel,
19372648318196,BOULISTES - PAUL ELUARD/LOCAUX,0,Pas de potentiel ,
,BOULISTES - PAUL ELUARD/LOCAUX/SANITAIRES PUBLICS,,Pas de potentiel,
